dataset;num_execucao;tempo(ms)
1;1;735
1;2;1180
1;3;1411
1;4;256
1;5;889
1;6;287
1;7;660
1;8;1856
1;9;549
1;10;404
1;11;894
1;12;259
1;13;1104
1;14;193
1;15;125
1;16;269
1;17;461
1;18;390
1;19;641
1;20;775
1;21;370
1;22;237
1;23;1104
1;24;380
1;25;499
1;26;424
1;27;872
1;28;1014
1;29;713
1;30;202
2;1;339
2;2;863
2;3;343
2;4;1421
2;5;202
2;6;373
2;7;1119
2;8;366
2;9;294
2;10;606
2;11;362
2;12;782
2;13;324
2;14;2228
2;15;443
2;16;435
2;17;491
2;18;546
2;19;292
2;20;294
2;21;510
2;22;1706
2;23;386
2;24;1185
2;25;1147
2;26;748
2;27;383
2;28;225
2;29;427
2;30;1417
3;1;313
3;2;214
3;3;115
3;4;845
3;5;574
3;6;478
3;7;1134
3;8;198
3;9;2700
3;10;588
3;11;144
3;12;151
3;13;247
3;14;169
3;15;154
3;16;560
3;17;363
3;18;221
3;19;342
3;20;137
3;21;241
3;22;955
3;23;372
3;24;2213
3;25;133
3;26;150
3;27;252
3;28;635
3;29;318
3;30;844
4;1;1986
4;2;3220
4;3;2872
4;4;1196
4;5;2563
4;6;973
4;7;739
4;8;1422
4;9;1289
4;10;1228
4;11;1874
4;12;682
4;13;3240
4;14;490
4;15;892
4;16;3036
4;17;741
4;18;826
4;19;309
4;20;708
4;21;1756
4;22;1303
4;23;3702
4;24;2730
4;25;932
4;26;448
4;27;1231
4;28;1813
4;29;1278
4;30;1762
5;1;3688
5;2;2502
5;3;1425
5;4;4282
5;5;1450
5;6;1591
5;7;2853
5;8;1492
5;9;2508
5;10;1821
5;11;1531
5;12;939
5;13;5601
5;14;2181
5;15;1191
5;16;2259
5;17;1662
5;18;11034
5;19;2446
5;20;1529
5;21;701
5;22;1476
5;23;3105
5;24;1491
5;25;2190
5;26;2958
5;27;6604
5;28;686
5;29;1590
5;30;1327
6;1;3050
6;2;2093
6;3;1440
6;4;1404
6;5;8940
6;6;1222
6;7;447
6;8;2880
6;9;641
6;10;3974
6;11;1373
6;12;1092
6;13;715
6;14;729
6;15;831
6;16;1415
6;17;1153
6;18;1553
6;19;1913
6;20;1135
6;21;504
6;22;284
6;23;550
6;24;598
6;25;491
6;26;824
6;27;1230
6;28;973
6;29;364
6;30;609
7;1;724
7;2;2446
7;3;560
7;4;704
7;5;761
7;6;1793
7;7;1550
7;8;2301
7;9;494
7;10;1621
7;11;1547
7;12;532
7;13;2174
7;14;1019
7;15;718
7;16;1041
7;17;907
7;18;582
7;19;607
7;20;530
7;21;2342
7;22;701
7;23;489
7;24;1934
7;25;910
7;26;864
7;27;972
7;28;761
7;29;859
7;30;1308
8;1;1129
8;2;673
8;3;257
8;4;222
8;5;891
8;6;442
8;7;153
8;8;210
8;9;388
8;10;246
8;11;771
8;12;157
8;13;947
8;14;572
8;15;371
8;16;303
8;17;546
8;18;1009
8;19;393
8;20;455
8;21;573
8;22;176
8;23;1084
8;24;202
8;25;408
8;26;280
8;27;666
8;28;152
8;29;414
8;30;1096
9;1;478
9;2;293
9;3;1032
9;4;565
9;5;2297
9;6;1855
9;7;3622
9;8;858
9;9;1240
9;10;635
9;11;589
9;12;779
9;13;3213
9;14;849
9;15;1076
9;16;391
9;17;1037
9;18;1454
9;19;479
9;20;1037
9;21;512
9;22;2448
9;23;1530
9;24;1275
9;25;571
9;26;882
9;27;369
9;28;1296
9;29;377
9;30;422
10;1;224
10;2;198
10;3;799
10;4;111
10;5;212
10;6;525
10;7;176
10;8;142
10;9;81
10;10;159
10;11;234
10;12;232
10;13;150
10;14;184
10;15;1384
10;16;672
10;17;122
10;18;143
10;19;376
10;20;152
10;21;263
10;22;99
10;23;189
10;24;273
10;25;209
10;26;352
10;27;167
10;28;796
10;29;104
10;30;94
11;1;717
11;2;3696
11;3;557
11;4;1013
11;5;4100
11;6;563
11;7;1956
11;8;418
11;9;1149
11;10;881
11;11;699
11;12;750
11;13;799
11;14;784
11;15;441
11;16;5301
11;17;1555
11;18;1361
11;19;956
11;20;2941
11;21;4428
11;22;2024
11;23;1038
11;24;2015
11;25;4524
11;26;6033
11;27;667
11;28;356
11;29;1892
11;30;1173
12;1;728
12;2;1156
12;3;2009
12;4;2644
12;5;851
12;6;1316
12;7;966
12;8;943
12;9;2014
12;10;5600
12;11;724
12;12;1450
12;13;1635
12;14;1439
12;15;928
12;16;876
12;17;2057
12;18;1199
12;19;873
12;20;1996
12;21;1047
12;22;1783
12;23;1344
12;24;2060
12;25;3325
12;26;994
12;27;631
12;28;875
12;29;1454
12;30;787
